Procurement title:,Project X,,Members of Evaluation Team:,,"Member 1, Member 2, Member 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project quality weighting (%):,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project price weighting (%):,60%,,Overall Quality Threshold (optional):,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUALITY SCORES,,,Thomas Muller,,,Paul Jeff,,,Mirabel Nicolas ,,,Mary Blight,,,Tom Hanks,,,Billy Graham,,,Mendi Henandese,,,Mirteran Pablo,,,Blaise Compaoré,,,Trevore Levis,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,OVERALL QUALITY SCORE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRICE SCORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tender price (whole life costs),,,Thomas Muller price = ,,"£68,500.00",Paul Jeff price = ,,"£68,900.00",Mirabel Nicolas  price = ,,"£69,550.00",Mary Blight price = ,,"£71,500.00",Tom Hanks price = ,,"£71,170.00",Billy Graham price = ,,"£68,900.00",Mendi Henandese price = ,,"£76,300.00",Mirteran Pablo price = ,,"£67,600.00",Blaise Compaoré price = ,,"£71,050.00",Trevore Levis price = ,,"£66,650.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Price score                      ,Lowest Cost,"£66,650.00",Thomas Muller price score =,,97.3,Paul Jeff price score =,,96.73,Mirabel Nicolas  price score =,,95.83,Mary Blight price score =,,93.22,Tom Hanks price score =,,93.65,Billy Graham price score =,,96.73,Mendi Henandese price score =,,87.35,Mirteran Pablo price score =,,98.59,Blaise Compaoré price score =,,93.81,Trevore Levis price score =,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weighted Quality Score,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,40% x 0.0 = ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Project price weighting x price score,,60% x 97.3 = ,58.38,,60% x 96.7 = ,58.04,,60% x 95.8 = ,57.5,,60% x 93.2 = ,55.93,,60% x 93.6 = ,56.19,,60% x 96.7 = ,58.04,,60% x 87.4 = ,52.41,,60% x 98.6 = ,59.16,,60% x 93.8 = ,56.28,,60% x 100.0 = ,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Overall score,,,58.38,,,58.04,,,57.5,,,55.93,,,56.19,,,58.04,,,52.41,,,59.16,,,56.28,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Order of tenders (ranking),,,3,,,4,,,6,,,9,,,8,,,4,,,10,,,2,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58.4,,,58,,,57.5,,,55.9,,,56.2,,,58,,,52.4,,,59.2,,,56.3,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signed by members of the Tender Board,_________________________________________________________________________,,,,,Date____________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(for file copy ),_________________________________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_________________________________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_________________________________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N.B. The scoring methodology for Quality built into this matix is 0-4, if you decide to use another scale the formula in cells G16 to G22 for   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tender 1 and the equivilent cells for all other tenders must be amended accordingly. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Evaluation Matrix pricing is scored relatively to the best price whereas quality is scored individually i.e. not relatively.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
